overall_rating,rating_norm,rating_label,likes,like_sent_label,like_sent_score,dislikes,dislike_sent_label,dislike_sent_score,text_combined,text_sent_label,text_sent_score,consistency_label,rag_explanation,title,department,date
5.0,5.0,1,"Best product, best service and best senior",POSITIVE,1.0,Everything is good not a dislike,POSITIVE,1.0,"best product, best service and best senior everything is good not a dislike",POSITIVE,0.75,GENUINE,,Seals Man,Home Appliances Department,4 Jan 2023
3.0,3.0,0,Innovations,POSITIVE,1.0,Worst working culture,NEGATIVE,-1.0,innovations worst working culture,NEUTRAL,0.0,AMBIGUOUS,,Area Service Manager,Operations Department,6 Jan 2023
4.0,4.0,1,"Perks amd benfits, brand image",POSITIVE,1.0,"Undue pressure, no support, no work life balance",NEGATIVE,-1.0,"perks amd benfits, brand image undue pressure, no support, no work life balance",NEUTRAL,0.0,AMBIGUOUS,,Business Development Manager,BD / Pre Sales Department,8 Nov 2022
3.0,3.0,0,Company gud work,NEUTRAL,0.0,Policy poor,NEGATIVE,-1.0,company gud work policy poor,POSITIVE,0.25,AMBIGUOUS,,Store Sales Executive,Retail & B2C Sales Department,1 Jan 2023
4.0,4.0,1,Pay Master,POSITIVE,1.0,No work life balance,NEGATIVE,-1.0,pay master no work life balance,NEUTRAL,0.0,AMBIGUOUS,,Area Service Manager,Customer Success Department,5 Jun 2023
5.0,5.0,1,"Love 
Like 
Settle",POSITIVE,1.0,"Over timing
Target",NEGATIVE,-1.0,love like settle over timing target,POSITIVE,0.25,GENUINE,,Sales Executive,,1 Jan 2023
4.0,4.0,1,LG is good culture,POSITIVE,1.0,So happy is working condition,POSITIVE,1.0,lg is good culture so happy is working condition,POSITIVE,0.75,GENUINE,,Safety Officer,Community Health & Safety Department,9 Jan 2023
3.0,3.0,0,"I hv a AC of 1.5 on, purchased at Bhopal ( probably from Jagdish Ramtani Jee) in year 2010. As i am retired and residing at Jagdalpur 494001.Since 2019 onwards AC functions start problems. Than I contacted your service centre , Jagdalpur.After paying Rs 2000/-, 5500/- and this year Rs 4400- my AC is wek and week.people from your service center , Mr, Mohan Rao, Ramiz Qurashi,Mr Sanju Pillay",NEGATIVE,-1.0,"service and responsibility is very poor. During treatment lots of surgeon contacted us,",NEGATIVE,-1.0,"i hv a ac of 1.5 on, purchased at bhopal ( probably from jagdish ramtani jee) in year 2010. as i am retired and residing at jagdalpur 494001.since 2019 onwards ac functions start problems. than i contacted your service centre , jagdalpur.after paying rs 2000/-, 5500/- and this year rs 4400- my ac is wek and week.people from your service center , mr, mohan rao, ramiz qurashi,mr sanju pillay service and responsibility is very poor. during treatment lots of surgeon contacted us,",NEGATIVE,-0.75,AMBIGUOUS,,Retired Chief Manager SBI   (working remotely),not known Department,2 Jul 2022
4.0,4.0,1,Everything is good,POSITIVE,1.0,Nice working,POSITIVE,1.0,everything is good nice working,POSITIVE,0.75,GENUINE,,Branch Product Trainer,Marketing Department,0 Dec 2022
5.0,5.0,1,All are Good,POSITIVE,1.0,All are good,POSITIVE,1.0,all are good all are good,POSITIVE,1.0,GENUINE,,Branch Service Manager,Operations Department,5 Jan 2023
5.0,5.0,1,Very nice experience in Lg,POSITIVE,1.0,No any dislike,POSITIVE,1.0,very nice experience in lg no any dislike,POSITIVE,0.75,GENUINE,,Customer Care Officer,Back Office Work Department,3 Dec 2022
2.0,2.0,-1,Not much work life balance is zero and appraisals are taken by reporting managers,NEGATIVE,-1.0,"Poor Appraisals
Over burden in job
Reporting managers practically do nothing and deligate their responsibility down the line",NEGATIVE,-1.0,not much work life balance is zero and appraisals are taken by reporting managers poor appraisals over burden in job reporting managers practically do nothing and deligate their responsibility down the line,NEGATIVE,-1.0,GENUINE,,Deputy Manager,Service Delivery Department,4 Mar 2023
1.0,1.0,-1,Nothing to say good here,NEGATIVE,-1.0,Everything is fake and bakwas,NEGATIVE,-1.0,nothing to say good here everything is fake and bakwas,NEUTRAL,0.0,AMBIGUOUS,,Graduate Engineer Trainee (get),Quality Assurance and Testing Department,8 Mar 2023
5.0,5.0,1,Good experience this company,POSITIVE,1.0,No,NEGATIVE,-1.0,good experience this company no,NEGATIVE,-0.25,INCONSISTENT,,Sales And Promotion Executive,Retail & B2C Sales Department,6 Jan 2023
4.0,4.0,1,Good companyculturre,POSITIVE,1.0,Salary issue incrememts,NEGATIVE,-1.0,good companyculturre salary issue incrememts,NEGATIVE,-0.25,INCONSISTENT,,Accountant,Back Office Department,1 Jun 2023
4.0,4.0,1,Job security,POSITIVE,1.0,Work Life Balance,POSITIVE,1.0,job security work life balance,POSITIVE,0.5,GENUINE,,Manager,Customer Success Department,8 May 2023
5.0,5.0,1,Good Learning experience in LG,POSITIVE,1.0,Nothing,NEGATIVE,-1.0,good learning experience in lg nothing,NEGATIVE,-0.25,INCONSISTENT,,Service Engineer,"Operations, Maintenance & Support Department",3 Jan 2023
4.0,4.0,1,Good,POSITIVE,1.0,Working from past 2 year nice culture,POSITIVE,1.0,good working from past 2 year nice culture,POSITIVE,0.75,GENUINE,,"Graduate Engineer Trainee In Procurement Sourcing Dept. At LG Electronics , Banglore",After Sales Service & Repair Department,4 Feb 2023
5.0,5.0,1,Enjoying every work,POSITIVE,1.0,Nothing,NEGATIVE,-1.0,enjoying every work nothing,NEUTRAL,0.0,AMBIGUOUS,,Warehouse Manager,SCM & Logistics Department,6 Mar 2023
2.0,2.0,-1,"Process, system, quality of product.",POSITIVE,1.0,"Travelling is hectic, reaching office to work at 8am is worst thing (1 hr~1.5hr travel time),Politics, too old top management for understanding new generation needs, poor managers. No flexible timing.",NEGATIVE,-1.0,"process, system, quality of product. travelling is hectic, reaching office to work at 8am is worst thing (1 hr 1.5hr travel time),politics, too old top management for understanding new generation needs, poor managers. no flexible timing.",NEUTRAL,0.0,AMBIGUOUS,,Deputy Manager Research Development,Engineering & Manufacturing Department,3 Sep 2022
5.0,5.0,1,Supporting staffs,POSITIVE,1.0,Stock issue .,NEGATIVE,-1.0,supporting staffs stock issue .,POSITIVE,0.5,GENUINE,,Branch Product Consultancy,Retail & B2C Sales Department,4 Jun 2023
5.0,5.0,1,Good training skills developed,POSITIVE,1.0,No dislikes,POSITIVE,1.0,good training skills developed no dislikes,POSITIVE,0.75,GENUINE,,LG TRAINER,Training & Development Department,1 Dec 2022
4.0,4.0,1,Management is very supportive. Company provides free transport and food,POSITIVE,1.0,No opportunities for growth for there off roll employee even there no designation for them.,NEGATIVE,-1.0,management is very supportive. company provides free transport and food no opportunities for growth for there off roll employee even there no designation for them.,NEUTRAL,0.0,AMBIGUOUS,,Business Analyst,Sales & Operations Department,0 Sep 2022
5.0,5.0,1,Company policy and work culture.,POSITIVE,1.0,Nothing much just salary hike should be more.,NEGATIVE,-1.0,company policy and work culture. nothing much just salary hike should be more.,POSITIVE,0.25,GENUINE,,Area Service Manager,After Sales Service & Repair Department,3 Oct 2022
5.0,5.0,1,Company culture is very good.,POSITIVE,1.0,No,NEGATIVE,-1.0,company culture is very good. no,NEGATIVE,-0.25,INCONSISTENT,,Exicutive,Power Supply and Distribution Department,6 Jan 2023
4.0,4.0,1,Great place to learn,POSITIVE,1.0,Long working hours,NEGATIVE,-1.0,great place to learn long working hours,POSITIVE,1.0,GENUINE,,Graduate Engineer Trainee,,1 Dec 2022
4.0,4.0,1,Job security and Reimbursements...,NEUTRAL,0.0,Work culture in terms of Work life balance,POSITIVE,1.0,job security and reimbursements... work culture in terms of work life balance,POSITIVE,0.75,GENUINE,,Team Member,Retail & B2C Sales Department,5 Oct 2022
3.0,3.0,0,Service of lg,POSITIVE,1.0,Nothing about dislike,NEGATIVE,-1.0,service of lg nothing about dislike,NEUTRAL,0.0,AMBIGUOUS,,LG Equipment Maintenance    (working remotely),After Sales Service & Repair Department,7 Jan 2023
4.0,4.0,1,Strong system management,POSITIVE,1.0,"Timing.
Month end pressure.",NEGATIVE,-1.0,strong system management timing. month end pressure.,POSITIVE,0.5,GENUINE,,Branch SCM,SCM & Logistics Department,5 Feb 2023
1.0,1.0,-1,One Word Only harassment,NEGATIVE,-1.0,No time Others Relation and Family Time,NEGATIVE,-1.0,one word only harassment no time others relation and family time,NEGATIVE,-1.0,GENUINE,,Area Sales Manager,Enterprise & B2B Sales Department,8 Oct 2022
5.0,5.0,1,Al l are good,POSITIVE,1.0,Nothing,NEGATIVE,-1.0,al l are good nothing,NEGATIVE,-0.25,INCONSISTENT,,Assistant Area Manager,Enterprise & B2B Sales Department,7 May 2023
2.0,2.0,-1,Worst Culture of Koreans.. They think Indians are their salve. Typical YES SIR Korean culture.. The same Culture was bad enough for plane crash as well ( google got Plan crash Korean Culture),NEGATIVE,-1.0,Worst Korean Culture. They don't treat Indians with dignity.  My experience was akin to people who must have felt disgusting during the British rule  in India.  No work life balance and you need to be YESS SIR person especially to FSE's ( Korean Representatives in India),NEGATIVE,-1.0,worst culture of koreans.. they think indians are their salve. typical yes sir korean culture.. the same culture was bad enough for plane crash as well ( google got plan crash korean culture) worst korean culture. they don't treat indians with dignity. my experience was akin to people who must have felt disgusting during the british rule in india. no work life balance and you need to be yess sir person especially to fse's ( korean representatives in india),NEGATIVE,-1.0,GENUINE,,"Assistant General Manager, Zonal Head West -1",SAC Department,0 Apr 2022
3.0,3.0,0,Job security,POSITIVE,1.0,"Korean Culture
Indian folks have no motivation.
Top to bottom approach.",NEGATIVE,-1.0,job security korean culture indian folks have no motivation. top to bottom approach.,NEUTRAL,0.0,AMBIGUOUS,,Deputy Manager,,3 Oct 2022
5.0,5.0,1,More opportunity I am ready for any other state,POSITIVE,1.0,Nope,NEGATIVE,-1.0,more opportunity i am ready for any other state nope,NEUTRAL,0.0,AMBIGUOUS,,Retail Sales Officer,Retail & B2C Sales Department,6 Feb 2023
4.0,4.0,1,Okie 👍 good working environment,POSITIVE,1.0,Nothing,NEGATIVE,-1.0,okie good working environment nothing,NEGATIVE,-0.5,INCONSISTENT,,Marketing Coordinator,Service Delivery Department,0 Dec 2022
3.0,3.0,0,Working culture is good,POSITIVE,1.0,There is nothing dislike,POSITIVE,1.0,working culture is good there is nothing dislike,POSITIVE,0.25,AMBIGUOUS,,Sales Officer,Retail & B2C Sales Department,5 Jan 2023
4.0,4.0,1,LG is best company I like LG product,POSITIVE,1.0,LG is good,POSITIVE,1.0,lg is best company i like lg product lg is good,POSITIVE,0.75,GENUINE,,Computer Operator And Account Assistant   (working remotely),,2 Dec 2022
5.0,5.0,1,Good Company best salary,POSITIVE,1.0,Nothing but in company pressure more,NEGATIVE,-1.0,good company best salary nothing but in company pressure more,POSITIVE,0.25,GENUINE,,Promoter,Retail & B2C Sales Department,5 Oct 2022
5.0,5.0,1,Old employees is good behaviour.,POSITIVE,1.0,No teamwork here,NEGATIVE,-1.0,old employees is good behaviour. no teamwork here,NEGATIVE,-0.25,INCONSISTENT,,Shop Seles Exucutive,Sales & Marketing Department,5 Nov 2022
5.0,5.0,1,All Engineer Good Behave and Full Support,POSITIVE,1.0,Salary Issue,NEGATIVE,-1.0,all engineer good behave and full support salary issue,NEUTRAL,0.0,AMBIGUOUS,,Cco,,1 Oct 2022
2.0,2.0,-1,"Good perks/benefits in monetary terms
5 day working",POSITIVE,1.0,"No work life balance at all
Too much work pressure",NEGATIVE,-1.0,good perks/benefits in monetary terms 5 day working no work life balance at all too much work pressure,NEGATIVE,-0.25,GENUINE,,Assistant Manager,Production Department,0 Sep 2022
3.0,3.0,0,Products and Innovation,POSITIVE,1.0,Managers,POSITIVE,1.0,products and innovation managers,POSITIVE,0.75,AMBIGUOUS,,Deputy Manager Sales,Retail & B2C Sales Department,0 Jan 2023
3.0,3.0,0,Best in festival time,POSITIVE,1.0,"Work life,travaltime up down",NEGATIVE,-1.0,"best in festival time work life,travaltime up down",POSITIVE,0.75,AMBIGUOUS,,Finance Assistant,Accounting & Taxation Department,0 Nov 2022
3.0,3.0,0,Nothing,NEGATIVE,-1.0,"Everything
Feels like working with east India company",NEGATIVE,-1.0,nothing everything feels like working with east india company,NEUTRAL,0.0,AMBIGUOUS,,Assistant Manager,Procurement & Purchase Department,9 Sep 2022
5.0,5.0,1,Very knowledgeable trainers in this company,POSITIVE,1.0,Nothing,NEGATIVE,-1.0,very knowledgeable trainers in this company nothing,NEUTRAL,0.0,AMBIGUOUS,,Sales Promoter,Sales Support & Operations Department,9 Nov 2022
4.0,4.0,1,"Working culture, good environment",POSITIVE,1.0,"Work life balance, promotions, increment",POSITIVE,1.0,"working culture, good environment work life balance, promotions, increment",POSITIVE,0.75,GENUINE,,Production Engineer,Engineering & Manufacturing Department,2 Nov 2022
4.0,4.0,1,Team coordination,POSITIVE,1.0,So more physical activity with low manpower,NEGATIVE,-1.0,team coordination so more physical activity with low manpower,NEUTRAL,0.0,AMBIGUOUS,,Store Executive,Stores & Material Management Department,5 Oct 2022
5.0,5.0,1,"Salary on time
Good behaviour of senior management",POSITIVE,1.0,Nothing.,NEGATIVE,-1.0,salary on time good behaviour of senior management nothing.,NEGATIVE,-0.25,INCONSISTENT,,Accountant,Accounting & Taxation Department,3 Oct 2022
4.0,4.0,1,"The most likely working with the department level  , All the colleagues and seniors are very supportive and helpful.",POSITIVE,1.0,Company politics,NEGATIVE,-1.0,"the most likely working with the department level , all the colleagues and seniors are very supportive and helpful. company politics",POSITIVE,0.75,GENUINE,,Coordinator,Tooling Department,9 Sep 2022
5.0,5.0,1,Incentives are in time and rewarding,POSITIVE,1.0,Work pressure is too much,NEGATIVE,-1.0,incentives are in time and rewarding work pressure is too much,NEUTRAL,0.0,AMBIGUOUS,,Assistant Manager,BD / Pre Sales Department,1 Mar 2023
3.0,3.0,0,Job security is perfect until someone do misbehave or jeong du,POSITIVE,1.0,"Salary hike is less
Late sitting culture",POSITIVE,1.0,job security is perfect until someone do misbehave or jeong du salary hike is less late sitting culture,POSITIVE,0.25,AMBIGUOUS,,Assistant Manager,Engineering & Manufacturing Department,5 Oct 2022
3.0,3.0,0,Only salary is good,NEGATIVE,-1.0,Work life balance is poor and management is not taking care of employee welfare and retention .pressure is very high so very high resignation in customer service,NEGATIVE,-1.0,only salary is good work life balance is poor and management is not taking care of employee welfare and retention .pressure is very high so very high resignation in customer service,NEGATIVE,-0.75,AMBIGUOUS,,Area Service Manager,After Sales Service & Repair Department,9 Feb 2023
1.0,1.0,-1,Free Hand Working life,POSITIVE,1.0,Culture and environment of company.,POSITIVE,1.0,free hand working life culture and environment of company.,POSITIVE,0.75,INCONSISTENT,,Team Leader - TWE,Marketing Department,2 Jan 2023
3.0,3.0,0,System oriented company,POSITIVE,1.0,All policy/ directioons/ guidelines governed by HQ only,NEGATIVE,-1.0,system oriented company all policy/ directioons/ guidelines governed by hq only,POSITIVE,0.25,AMBIGUOUS,,Assistant General Manager,Engineering & Manufacturing Department,4 Sep 2022
4.0,4.0,1,very like working,POSITIVE,1.0,salary not good,NEGATIVE,-1.0,very like working salary not good,NEUTRAL,0.0,AMBIGUOUS,,Sales Executive,,2 Dec 2022
4.0,4.0,1,THE JOB IS VERY GOOD WITH HUNDRED PARCENT JOB SECURITY THE COMPANY HAVE SO MANY GOOD POLICIES FOR THE CUSTOMERS AND A GOOD QUICK RESPONSE TEAM WITH GOOD REPAIRING SKILLS.,POSITIVE,1.0,THE WORK HAD A GREAT IMPACT ON OUR DAILY LIFE. THERE  IS NO TIME LIMIT FOR THE EMPLOYEES AND ALSO VERY STRESSFUL.YOU WILL NOT GET PROPER HOLIDAYS ALSO.,POSITIVE,1.0,the job is very good with hundred parcent job security the company have so many good policies for the customers and a good quick response team with good repairing skills. the work had a great impact on our daily life. there is no time limit for the employees and also very stressful.you will not get proper holidays also.,POSITIVE,1.0,GENUINE,,CCO AT LG ELECTRONICS INDIA SERVICE DEPARTMENT,Service Department,0 Apr 2022
3.0,3.0,0,Rules and regulations is common for all employees,POSITIVE,1.0,No.,NEGATIVE,-1.0,rules and regulations is common for all employees no.,NEGATIVE,-0.25,AMBIGUOUS,,Design Engineer,Engineering & Manufacturing Department,6 Apr 2023
1.0,1.0,-1,Good environment,POSITIVE,1.0,"Working culture,late night sitting,extra pressure",NEGATIVE,-1.0,"good environment working culture,late night sitting,extra pressure",POSITIVE,0.5,INCONSISTENT,,Senior Engineer In Production Department,Engineering Department,2 Oct 2022
5.0,5.0,1,"If You want to work in LG Company, you can know public pulse easily,you can solve any difficult problems with smiling face, this is the right way to earn more money ,
Good Company support, You can learn good communication skills...",POSITIVE,1.0,"1) If you want to work in retail and marketing jobs, Don't expect to spend more time with family and friends, No Party's, No Festivals, Only have work,
2) Daily new task, Daily new life,new target's new problems,
3) If you want to earn money this is the best way,
4) If you want to health forget about this job,",NEGATIVE,-1.0,"if you want to work in lg company, you can know public pulse easily,you can solve any difficult problems with smiling face, this is the right way to earn more money , good company support, you can learn good communication skills... 1) if you want to work in retail and marketing jobs, don't expect to spend more time with family and friends, no party's, no festivals, only have work, 2) daily new task, daily new life,new target's new problems, 3) if you want to earn money this is the best way, 4) if you want to health forget about this job,",POSITIVE,1.0,GENUINE,,Store Sales Executive,,9 Mar 2022
1.0,1.0,-1,"Worst Place to work.
No work life balance .
Working hours are from 8AM to 7 PM.
Difficult to get leaves even if u leaves.
Working of 1st and 3rd Saturday.
Manager and part leader response is poor.
No co-operation from other people.
I regret after joining LG",NEGATIVE,-1.0,Everything,POSITIVE,1.0,worst place to work. no work life balance . working hours are from 8am to 7 pm. difficult to get leaves even if u leaves. working of 1st and 3rd saturday. manager and part leader response is poor. no co-operation from other people. i regret after joining lg everything,NEUTRAL,0.0,AMBIGUOUS,,Senior Product Development Engineer,New Product Development Department,5 May 2022
3.0,3.0,0,God skill devlopment,NEGATIVE,-1.0,No job security,NEGATIVE,-1.0,god skill devlopment no job security,NEUTRAL,0.0,AMBIGUOUS,,Service Engineer,,5 Nov 2022
1.0,1.0,-1,If you can do politics and buttering… you can grow like anything… best examples in HR team. You can resign multiple times and take salary hike and growth because Korean can be easily befooled.,POSITIVE,1.0,"Worst culture even seen in any company. Full of politics. Even in HR department their is huge politics and no bonding. No MNC like feeing. Only employees are flourishing and pulling legs of new and fresh talents and making their survival in company tough. Most old employees are on an average 15-20 years old. Born and brought up in LG and going to retire from here. Oldies are having no capabilities still they are handling teams of fully talented young workforce. 
If you want to join HR, be mentally ready that you boss can be an Accounts person, a Procurement person and even an IT person who knows not even a A B C of HR.
This company is good in terms of product but will loose good talents because of poor HR system....Read More",NEGATIVE,-1.0,"if you can do politics and buttering you can grow like anything best examples in hr team. you can resign multiple times and take salary hike and growth because korean can be easily befooled. worst culture even seen in any company. full of politics. even in hr department their is huge politics and no bonding. no mnc like feeing. only employees are flourishing and pulling legs of new and fresh talents and making their survival in company tough. most old employees are on an average 15-20 years old. born and brought up in lg and going to retire from here. oldies are having no capabilities still they are handling teams of fully talented young workforce. if you want to join hr, be mentally ready that you boss can be an accounts person, a procurement person and even an it person who knows not even a a b c of hr. this company is good in terms of product but will loose good talents because of poor hr system....read more",NEGATIVE,-0.25,GENUINE,,Manager-hr,Management Department,2 Oct 2022
5.0,5.0,1,Assem,NEGATIVE,-1.0,No i like this,NEGATIVE,-1.0,assem no i like this,NEUTRAL,0.0,AMBIGUOUS,,S S E,,7 Jan 2023
2.0,2.0,-1,Lg product 👍👍👍👍,NEGATIVE,-1.0,Salary issue,NEGATIVE,-1.0,lg product salary issue,NEUTRAL,0.0,AMBIGUOUS,,Senior Service Technician,After Sales Service & Repair Department,7 Mar 2023
3.0,3.0,0,"I'm worked as a off role employee (third party), there is mainly we can learn many things and grow up technically and personally",POSITIVE,1.0,"There are few things like... They don't care about off role employee but work will be more that a manager, salary hikes are very less... I got 3000 increment for 3.5 yrs (overall)",NEGATIVE,-1.0,"i'm worked as a off role employee (third party), there is mainly we can learn many things and grow up technically and personally there are few things like... they don't care about off role employee but work will be more that a manager, salary hikes are very less... i got 3000 increment for 3.5 yrs (overall)",POSITIVE,0.25,AMBIGUOUS,,Project Engineer,SAC - Projects Department,9 May 2022
4.0,4.0,1,Learning,POSITIVE,1.0,work life balance,POSITIVE,1.0,learning work life balance,POSITIVE,0.5,GENUINE,,Sales & Marketing,Marketing Department,7 Jan 2023
3.0,3.0,0,It's a good company but not for freshers,POSITIVE,1.0,It gives it's employees too much pressure,NEGATIVE,-1.0,it's a good company but not for freshers it gives it's employees too much pressure,NEGATIVE,-0.25,AMBIGUOUS,,Sales Person,Sales Support & Operations Department,8 Mar 2023
5.0,5.0,1,Nice good work and very friendship day duty,POSITIVE,1.0,Same here,NEGATIVE,-1.0,nice good work and very friendship day duty same here,POSITIVE,0.25,GENUINE,,Sigma Company Private Limited,Driving Department,5 Nov 2022
3.0,3.0,0,"The product lineup is very strong and job security is there, free food and free travel is a good plus along with product discounts on grade a products :)",POSITIVE,1.0,It all comes down to who is your boss. If the boss is understanding you won't have any issues. I had a good boss then when he left the new guy is just pure erratic. Company Culture is pushy and no new ideas are brought to table. Leave and Holidays are for namesake. Problems are not addressed for a one time solution they are same things repeated over and over again.,NEGATIVE,-1.0,"the product lineup is very strong and job security is there, free food and free travel is a good plus along with product discounts on grade a products :) it all comes down to who is your boss. if the boss is understanding you won't have any issues. i had a good boss then when he left the new guy is just pure erratic. company culture is pushy and no new ideas are brought to table. leave and holidays are for namesake. problems are not addressed for a one time solution they are same things repeated over and over again.",NEGATIVE,-0.25,AMBIGUOUS,,Senior Executive,,0 Feb 2022
3.0,3.0,0,"Skills sets are very high, plant environment is very good, equipment and setup is state of art, facilities is beyond indian mindset.",POSITIVE,1.0,"Management is very poor. Work pressure is so high, less educated and less cultured and no ethical people at top, thankless management. No system, No administration, No ethics only work and work till you die.",NEGATIVE,-1.0,"skills sets are very high, plant environment is very good, equipment and setup is state of art, facilities is beyond indian mindset. management is very poor. work pressure is so high, less educated and less cultured and no ethical people at top, thankless management. no system, no administration, no ethics only work and work till you die.",NEUTRAL,0.0,AMBIGUOUS,,Assistant Manager,,2 Oct 2022
5.0,5.0,1,"Employees are good ,discipline environment",POSITIVE,1.0,Nothing everything is good good management system,NEGATIVE,-1.0,"employees are good ,discipline environment nothing everything is good good management system",POSITIVE,0.25,GENUINE,,Research And Development Mechanical Engineer,Engineering Department,3 Feb 2023
3.0,3.0,0,Not have support for kinds,NEGATIVE,-1.0,Not able to work with lg,NEGATIVE,-1.0,not have support for kinds not able to work with lg,NEGATIVE,-0.75,AMBIGUOUS,,Area Sales Manager,BD / Pre Sales Department,1 Feb 2023
1.0,1.0,-1,Good environment,POSITIVE,1.0,Store assigned is not good,NEGATIVE,-1.0,good environment store assigned is not good,NEGATIVE,-0.25,GENUINE,,Senior Sales Executive 3,Retail & B2C Sales Department,7 Jun 2023
4.0,4.0,1,Not so good not so bad,NEGATIVE,-1.0,No dislikes,POSITIVE,1.0,not so good not so bad no dislikes,POSITIVE,0.5,GENUINE,,Sr. Sales Executive,Sales & Marketing Department,9 Nov 2022
5.0,5.0,1,LG service centre ka owner mujhe bahut like karte the,POSITIVE,1.0,Inka video se chalta nahin tha isiliye Humne vahan kam karne ka nirnay liya,NEGATIVE,-1.0,lg service centre ka owner mujhe bahut like karte the inka video se chalta nahin tha isiliye humne vahan kam karne ka nirnay liya,NEGATIVE,-1.0,INCONSISTENT,,Ac Technician   (working remotely),Teaching & Training Department,8 Sep 2023
4.0,4.0,1,Good company to start with. Can learn soft skills in a very short span,POSITIVE,1.0,Work life balance is very poor.,NEGATIVE,-1.0,good company to start with. can learn soft skills in a very short span work life balance is very poor.,NEUTRAL,0.0,AMBIGUOUS,,Senior Engineer,,2 Jul 2022
3.0,3.0,0,"On time salary and incentives,",POSITIVE,1.0,Over working hours and due to long time working hours misses family and social life.,NEGATIVE,-1.0,"on time salary and incentives, over working hours and due to long time working hours misses family and social life.",NEUTRAL,0.0,AMBIGUOUS,,Sales And Promotion Executive,Retail & B2C Sales Department,3 Jul 2022
4.0,4.0,1,Good job,POSITIVE,1.0,All good,POSITIVE,1.0,good job all good,POSITIVE,0.75,GENUINE,,Rso,CAC Department,7 Jan 2023
5.0,5.0,1,Good liks,POSITIVE,1.0,No diselike,NEGATIVE,-1.0,good liks no diselike,POSITIVE,0.25,GENUINE,,B.N Power Electronic,After Sales Service & Repair Department,8 Feb 2023
5.0,5.0,1,Working style / Team Work,POSITIVE,1.0,Office timeing,POSITIVE,1.0,working style / team work office timeing,POSITIVE,0.5,GENUINE,,Mis Admin,Customer Service Department,3 Nov 2022
5.0,5.0,1,"Good work environment and culture.
Teammate are supportive and the management is transparent. There is a huge cafeteria and gaming arcade for chilling. Company policies are good, appraisals are fair and they give good salary hike and bonus every year.",POSITIVE,1.0,Only Traveling,NEGATIVE,-1.0,"good work environment and culture. teammate are supportive and the management is transparent. there is a huge cafeteria and gaming arcade for chilling. company policies are good, appraisals are fair and they give good salary hike and bonus every year. only traveling",NEGATIVE,-0.25,INCONSISTENT,,Executive Partner,Finance & Accounts Department,8 May 2022
1.0,1.0,-1,No fixed salary and no salary sleep and no fixed duty,NEGATIVE,-1.0,"Work culture, management & company policies are excellent.",POSITIVE,1.0,"no fixed salary and no salary sleep and no fixed duty work culture, management company policies are excellent.",NEUTRAL,0.0,AMBIGUOUS,,Line Operator   (working remotely),B building Washing2 and ac4  Department,4 Nov 2022
5.0,5.0,1,"Compensation is decent, but growth slow .Managers do not value an individuals unique strengths, which is why i have to take back my suggestions most of the times. Also there is no on-job training for freshers, hence senior folks like me have to guide them step-by-step, which is a pain sometimes.",NEGATIVE,-1.0,It feels great to meet and handle new customers everyday ...,POSITIVE,1.0,"compensation is decent, but growth slow .managers do not value an individuals unique strengths, which is why i have to take back my suggestions most of the times. also there is no on-job training for freshers, hence senior folks like me have to guide them step-by-step, which is a pain sometimes. it feels great to meet and handle new customers everyday ...",POSITIVE,0.5,GENUINE,,Team Manager,Engineering Department,4 Apr 2022
5.0,5.0,1,Not saport in senior,NEGATIVE,-1.0,Salary + encetives is tymly bank acount credit & lg working experience is most top brand so iam very happy always 😃😃,POSITIVE,1.0,not saport in senior salary encetives is tymly bank acount credit lg working experience is most top brand so iam very happy always,POSITIVE,0.5,GENUINE,,Service Engineer,,6 Feb 2023
5.0,5.0,1,No,NEGATIVE,-1.0,Worst product I have ever purchased with pathetic after sales services,NEGATIVE,-1.0,no worst product i have ever purchased with pathetic after sales services,NEGATIVE,-1.0,INCONSISTENT,,Retail Sales Executive,Enterprise & B2B Sales Department,2 Sep 2022
5.0,5.0,1,Very organised work &  no worries about job security,POSITIVE,1.0,Not giving grwoth to their contractual employees even they are deserving & qualified. Company must have to promote and give oppertunity to their existing employees who deserve’s.,NEGATIVE,-1.0,very organised work no worries about job security not giving grwoth to their contractual employees even they are deserving qualified. company must have to promote and give oppertunity to their existing employees who deserve s.,NEGATIVE,-0.25,INCONSISTENT,,Branch Accounting Assistant,,6 May 2022
5.0,5.0,1,Can't say,NEGATIVE,-1.0,Can't say,NEGATIVE,-1.0,can't say can't say,POSITIVE,1.0,GENUINE,,Dupty Manager,Engineering & Manufacturing Department,4 Apr 2023
1.0,1.0,-1,Some person nature.about at lge company work some person nature not good nature.,NEGATIVE,-1.0,Meel.,POSITIVE,1.0,some person nature.about at lge company work some person nature not good nature. meel.,NEUTRAL,0.0,AMBIGUOUS,,Customer Relationship Executive,,4 Dec 2022
1.0,1.0,-1,Internal staff good,POSITIVE,1.0,Manegement not good department,NEGATIVE,-1.0,internal staff good manegement not good department,NEUTRAL,0.0,AMBIGUOUS,,Account Assistant,Accounting & Taxation Department,9 Dec 2022
5.0,5.0,1,Process oriented company,POSITIVE,1.0,Average Appraisal.,POSITIVE,1.0,process oriented company average appraisal.,POSITIVE,0.25,GENUINE,,Service Manager,Operations Department,5 Oct 2022
